title,,,,,
Wait Hours: Per Job: by Resource,,,,,
parameters,,,,,
"Resource = ( SDSC-GORDON,  TACC-STAMPEDE )",,,,,
start,end,,,,
12/1/2015,5/18/2016,,,,
---------,,,,,
Day,[SDSC GORDON] Wait Hours: Per Job,[TACC STAMPEDE] Wait Hours: Per Job,,Gordon Avg Wait Time per Job,Stampede Avg Wait Time per Job
12/1/2015,0.45894718,1.78315342,,7.212352305,4.080087913
12/2/2015,0.34025396,3.46203473,,,
12/3/2015,0.43257882,3.22945743,,,
12/4/2015,0.08085759,2.96639218,,,
12/5/2015,0.42104299,2.21184208,,,
12/6/2015,0.64779872,2.05063198,,,
12/7/2015,0.25651927,0.35907563,,,
12/8/2015,1.37498724,18.95228905,,,
12/9/2015,4.00645889,0.60231003,,,
12/10/2015,4.17893123,2.72357705,,,
12/11/2015,23.188199,1.76674234,,,
12/12/2015,27.57654127,2.46246343,,,
12/13/2015,0.1298377,1.43006661,,,
12/14/2015,13.12371687,1.33522212,,,
12/15/2015,0.29435006,2.79536199,,,
12/16/2015,1.07611672,6.38295056,,,
12/17/2015,2.29158683,5.0705839,,,
12/18/2015,3.45177169,6.52661418,,,
12/19/2015,2.93912655,8.12863199,,,
12/20/2015,7.02819165,0.92472093,,,
12/21/2015,0.16604857,3.24186002,,,
12/22/2015,2.20774475,6.24661422,,,
12/23/2015,3.21641312,4.14612221,,,
12/24/2015,2.53029924,4.17850359,,,
12/25/2015,0.0111797,5.03344229,,,
12/26/2015,0.0101159,1.92793873,,,
12/27/2015,0.00663769,1.17616926,,,
12/28/2015,0.15313122,1.21776323,,,
12/29/2015,1.27284527,2.2593963,,,
12/30/2015,3.92495071,2.13368003,,,
12/31/2015,15.2169578,1.4731921,,,
1/1/2016,29.94032093,0.27204571,,,
1/2/2016,17.05882637,0.4786616,,,
1/3/2016,0.08963436,0.37686746,,,
1/4/2016,1.52919225,0.6820973,,,
1/5/2016,0.64137989,1.41936629,,,
1/6/2016,0.08157556,1.55445774,,,
1/7/2016,0.72162388,2.01691474,,,
1/8/2016,1.56174429,2.04128246,,,
1/9/2016,1.86400987,0.65334044,,,
1/10/2016,1.04937308,1.1769635,,,
1/11/2016,0.46694534,0.41584454,,,
1/12/2016,1.41048659,1.17914126,,,
1/13/2016,0.75426287,0.8453998,,,
1/14/2016,0.57357106,1.42511141,,,
1/15/2016,0.6469643,3.03119639,,,
1/16/2016,4.43634186,2.48942094,,,
1/17/2016,1.02235319,2.16678573,,,
1/18/2016,0.35946449,0.84796445,,,
1/19/2016,0.37407713,0.90788728,,,
