title,,,,,,,
Wait Hours: Per Job: by Job Size,,,,,,,
parameters,,,,,,,
Resource =  SDSC-GORDON,,,,,,,
start,end,,,,,,
5/1/2015,5/19/2016,,,,,,
---------,,,,,,,
Month,[2 - 4] Wait Hours: Per Job,[5 - 8] Wait Hours: Per Job,[9 - 64] Wait Hours: Per Job,[65 - 256] Wait Hours: Per Job,[257 - 512] Wait Hours: Per Job,[513 - 1024] Wait Hours: Per Job,[1k - 8k] Wait Hours: Per Job
2015-05,0,0.09422689,6.39540799,9.26247412,12.3914928,1.73620336,5.073434
2015-06,0,3.11470304,9.37499228,9.37025482,5.01766432,3.18543636,2.10665
2015-07,0,2.51133506,15.95330412,26.06991303,11.03815362,15.25695994,1.31625
2015-08,0,5.8491999,25.41914586,17.86481204,19.55909263,53.19962655,3.23198
2015-09,0,0.41157615,25.19650709,23.29312089,6.72382463,25.56421288,35.30982055
2015-10,0,0.03177504,63.60527584,8.19930694,1.88048415,21.1778685,9.08471067
2015-11,0.0067,0.02380943,5.28697008,10.2399199,6.68426941,5.22790763,1.269785
2015-12,0,0.02700603,5.16472341,5.30497983,1.08287537,1.732105,2.40064944
2016-01,0,0.01232491,4.20478496,2.90430081,6.93999894,0.7382339,0.8117
2016-02,0,4.03622321,2.80496865,8.98462506,5.92929734,5.12455217,0
2016-03,0,0.09866148,4.50024026,15.25514825,14.68706564,1.66356224,7.2742
2016-04,0,0.03605136,5.66965805,9.6398124,6.16448346,1.13139565,0.38623077
2016-05,0,0.08168974,43.23937749,5.53638254,11.03288977,3.9515,0
---------,,,,,,,
